id,ibm_date,ibm_score,ibm_label,ibm_content
fortune,2023-11-23T11:11:04Z,0.0,neutral,"Electric vehicle sales are expected to hit a record 9% of all passenger vehicles in the U.S. this year, according to Atlas Public Policy. That will be up from 7.3% of new car sales in 2022.It will be… [+3447 chars]"
abc-news,2023-11-15T14:14:30Z,-0.3041,negative,"The Energy Department is making a push to strengthen the U.S. battery supply chain, announcing up to $3.5 billion for companies that produce batteries and the critical minerals that go into them.
Ba… [+4216 chars]"
abc-news,2023-11-14T19:50:13Z,-0.7716,negative,"NEW YORK -- New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scoot… [+3035 chars]"
newsweek,2023-11-15T00:21:05Z,0.8768,positive,"This Wednesday, November 15, is America Recycles Day, a nationally recognized day dedicated to the importance of recycling.
It's also the perfect time to develop your understanding of recycling, lea… [+4815 chars]"
fortune,2023-11-14T12:30:27Z,-0.561,negative,"Economic leaders are looking to the past for some inspiration on how to deal with the presentthe only issue is, no one seems to be able to agree which past era they should be studying. Deutsche Bank … [+4294 chars]"
abc-news,2023-11-15T17:34:09Z,-0.7607,negative,"RABAT, Morocco -- A mining company controlled by Morocco 's royal family on Wednesday denied claims that operations at a site used to mine minerals for car batteries were causing hazardous levels of … [+2909 chars]"
next-big-future,2023-11-14T18:11:34Z,0.0,neutral,The NT Times had a recent article discussing laser nuclear fusion. Nextbigfuture has spoken with all of the nuclear fusion companies listed in the NY Times article as they all attended the 2023 Inter… [+10972 chars]
cnn,2023-11-14T14:35:22Z,0.0,neutral,"Editors Note: Sign up for Unlocking the World, CNN Travels weekly newsletter. Get the latest news in aviation, food and drink, where to stay and other travel developments.
Spotting the tiny Elektra … [+10260 chars]"
abc-news,2023-11-21T15:50:44Z,0.0,neutral,"DETROIT -- Ford Motor Co. is resuming construction on a Michigan electric vehicle battery plant that the company postponed two months ago during a strike by the United Auto Workers union.
But the au… [+2854 chars]"
abc-news,2023-11-21T20:30:36Z,0.0,neutral,"DETROIT -- Ford Motor Co. is resuming construction on a Michigan electric vehicle battery plant that the company postponed two months ago during a strike by the United Auto Workers union.
But the au… [+3760 chars]"
abc-news,2023-11-23T13:34:28Z,0.0,neutral,"Electric vehicle sales are expected to hit a record 9% of all passenger vehicles in the U.S. this year, according to Atlas Public Policy. That will be up from 7.3% of new car sales in 2022.
It will … [+3780 chars]"
abc-news,2023-11-27T04:30:11Z,-0.5704,negative,MEXICO CITY -- Greenpeace activists have boarded a deep-sea mining ship in the Pacific Ocean between Hawaii and Mexico and said Sunday they'll stay to protest exploration the ship is conducting to su… [+3768 chars]
abc-news,2023-11-23T13:34:33Z,0.0,neutral,"Electric vehicle sales are expected to hit a record 9% of all passenger vehicles in the U.S. this year, according to Atlas Public Policy. That will be up from 7.3% of new car sales in 2022.
It will … [+3780 chars]"
abc-news,2023-11-15T17:34:15Z,-0.7607,negative,"RABAT, Morocco -- A mining company controlled by Morocco 's royal family on Wednesday denied claims that operations at a site used to mine minerals for car batteries were causing hazardous levels of … [+2909 chars]"
national-geographic,2023-11-16T00:00:00Z,-0.6865,negative,"As a participant in multiple affiliate marketing programs, National Geographic will earn a commission for certain purchases. See full disclaimer below.*
This year set new records for travel, a trend… [+5010 chars]"
wired,2023-11-19T12:00:00Z,0.7118,positive,"As the years progress, smartphones continue to get smarter, and that includes how they charge their batteries. Both Android and iOS now come with features that, along with some good battery care tips… [+2490 chars]"
the-verge,2023-11-13T13:30:00Z,-0.473,negative,"Apple stunned the world when it came out in support of Californias right-to-repair law. But software locks and other obstacles seem to signal that the fight is far from over.
Nov 13, 2023, 1:30 PM U… [+19903 chars]"
fortune,2023-11-11T11:00:00Z,0.8039,positive,"In June 2021, Brian Deese, the director of Joe Bidens National Economic Council, planted a flag in the ground. I am excited to lay out our vision for a 21st-century American industrial strategy, he s… [+19426 chars]"
business-insider,2023-11-23T09:39:11Z,-0.5749,negative,"EVs have an affordability problem.
There just aren't very many cheap options with the average price hovering just over $50,00 in September, according to Kelley Blue Book data
.
Auto execs have poi… [+5759 chars]"
the-verge,2023-11-14T13:30:00Z,-0.8655,negative,"How to electrify your life when you rent
How to electrify your life when you rent
 / Homeowners who want to reduce their carbon footprint by getting rid of polluting appliances have the US governme… [+8933 chars]"
business-insider,2023-11-09T19:47:46Z,-0.7688,negative,"Car fires have always been dangerous and difficult for firefighters, but highly combustible chemicals in electric car batteries are posing new challenges.
Not unlike the gasoline tanks in internal-c… [+3052 chars]"
breitbart-news,2023-11-17T23:11:42Z,0.0,neutral,"Mexican far-left President Andrés Manuel López Obrador held his first-ever meeting in person with Chinese dictator Xi Jinping on Thursday, reaffirming their nations “friendly relations” and agreeing … [+5350 chars]"
fox-news,2023-11-14T16:07:45Z,-0.7301,negative,The New York Fire Department is warning of the dangers of non-safety certified lithium-ion batteries after an e-scooter battery was determined to be the cause of a fire that claimed the lives of thre… [+3088 chars]
ars-technica,2023-11-09T19:00:00Z,0.2814,positive,"9 with 
There's a lot to like about electric vehicles. They're quiet, reliable, and about twice as efficient as the most frugal hybrid, not to mention that whole ""instant torque"" thing. But there's … [+2686 chars]"
fox-news,2023-11-14T21:57:41Z,-0.828,negative,"New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scooter's lithium… [+3610 chars]"
fox-news,2023-11-16T10:00:34Z,-0.4375,negative,"When California Democrat Gov. Gavin Newsom, admitted that clean-up efforts in San Francisco this week were a consequence of ""fancy leaders coming into town,"" he did more than say the quiet part out l… [+5203 chars]"
cnn,2023-11-23T12:30:30Z,-0.8685,negative,"Electric cars are supposed to be the future, but they still have issues that are keeping away many car buyers. The range is too short. The batteries are too heavy and expensive. They take too long to… [+5336 chars]"
breitbart-news,2023-11-15T05:16:40Z,0.0,neutral,Rural communities in the Democratic Republic of Congo (DRC) are facing an “environmental catastrophe” as mining for cobalt and other minerals necessary for manufacturing batteries poisons their land … [+7058 chars]
the-verge,2023-11-22T19:01:33Z,0.0,neutral,"Closeup of an all-electric F-150 Lightning. | Photo by Andrew Hawkins / The Verge

 

 Ford announced it is cutting production capacity on its upcoming electric vehicle battery plant, amid cooling c… [+1081 chars]"
fox-news,2023-11-17T09:00:34Z,-0.8433,negative,U.S. energy experts are warning of the economic and national security implications of President Biden's pact with China this week to move towards shutting down fossil fuel production in favor of gree… [+8372 chars]
fox-news,2023-11-21T17:42:02Z,-0.5446,negative,"U.S. automaker Ford Motor Company is dramatically scaling back an electric vehicle (EV) battery plant under construction in Michigan as its EV business continues to lose billions of dollars.
In an a… [+6790 chars]"
techcrunch,2023-11-16T12:40:38Z,0.0,neutral,"Battery cells produced at Toyota’s future North American EV factory will someday contain a little Redwood Materials DNA.
The two companies announced Thursday that Redwood Materials will supply Toyot… [+2780 chars]"
the-verge,2023-11-16T13:30:00Z,-0.9134,negative,"The effort to climate-proof our housing is running into a mess of problems, including aging housing stock, out-of-date zoning laws, and NIMBY-ism. Can we build our way to a better future?
ByAbigail … [+17047 chars]"
fox-news,2023-11-27T16:46:10Z,0.0,neutral,Greenpeace activists have boarded a deep-sea mining ship in the Pacific Ocean between Hawaii and Mexico and said Sunday they'll stay to protest exploration the ship is conducting to support activity … [+4066 chars]
reuters,2023-11-13T20:17:28Z,0.0,neutral,"WASHINGTON, Nov 13 (Reuters) - Democratic Senator Joe Manchin urged the U.S. Treasury on Monday to adopt the ""strictest possible standards"" to prevent Chinese-produced minerals or Chinese battery com… [+2466 chars]"
abc-news,2023-11-25T13:24:21Z,-0.6221,negative,"""What the heck is that?!"" a man on a bicycle shouted at me as I zoomed along a bike path in Manhattan on the new Honda Motocompacto scooter.
The man had a point: the Motocompacto looks like a futuri… [+3258 chars]"
cnn,2023-11-17T19:14:08Z,-0.8093,negative,"Sign up for CNNs Life, But Greener newsletter. Our limited newsletter series guides you on how to minimize your personal role in the climate crisis and reduce your eco-anxiety.
As the climate crisis… [+8075 chars]"
politico,2023-11-27T13:00:00Z,0.7367,positive,"Happy Monday, Illinois. Goodman Theatres A Christmas Carol
 hits all the right notes for this holiday season.
TOP TALKER
BOTTOMS UP: Gov. JB Pritzker posted a pre-Thanksgiving video on social medi… [+11707 chars]"
business-insider,2023-11-13T12:59:10Z,-0.7416,negative,"A Tesla owner said he heard a hissing sound coming from the battery the day before it caught fire in his garage. 
The vehicle, a Model X, caught alight Friday and took firefighters hours to put out… [+2257 chars]"
fortune,2023-11-15T17:09:50Z,-0.416,negative,"The Energy Department is making a push to strengthen the U.S. battery supply chain, announcing up to $3.5 billion for companies that produce batteries and the critical minerals that go into them.Batt… [+4202 chars]"
breitbart-news,2023-11-11T16:49:00Z,0.0,neutral,Chinese dictator Xi Jinping will attend the Asia-Pacific Economic Cooperation (APEC) summit in San Francisco next week and is scheduled to be the guest of honor at a dinner attended by hundreds of U.… [+6132 chars]
newsweek,2023-11-15T00:21:05Z,0.8768,positive,"This Wednesday, November 15, is America Recycles Day, a nationally recognized day dedicated to the importance of recycling.
It's also the perfect time to develop your understanding of recycling, lea… [+4815 chars]"
fortune,2023-11-26T20:37:57Z,0.2815,positive,"Battery giants are starting to put their money on new sodium-based technology, a sign that there could be yet another shakeup in the industry thats crucial for the energy transition.Sodium found in r… [+3869 chars]"
abc-news,2023-11-15T14:14:30Z,-0.3041,negative,"The Energy Department is making a push to strengthen the U.S. battery supply chain, announcing up to $3.5 billion for companies that produce batteries and the critical minerals that go into them.
Ba… [+4216 chars]"
wired,2023-11-25T13:00:00Z,0.0,neutral,"Extending the useful life of EV batteries mitigates the impact of manufacturing them, said Maria Chavez, energy analyst at the Union of Concerned Scientists.
The whole point of trying to deploy elec… [+3234 chars]"
business-insider,2023-11-11T05:41:25Z,0.2832,positive,"Lucid AirLucid
<ul><li>Saudi Arabia's sovereign fund has a 60% stake in Lucid Motors, an EV startup.</li><li>Months after the company went public, the stake was valued at more than $55B, per Bloombe… [+1969 chars]"
business-insider,2023-11-25T16:41:30Z,-0.8361,negative,"Nissan has announced they will build three new EV models at its Sunderland plant in the UK.Ian Forsyth / Getty
<ul><li>Nissan announced that it would invest billions in its UK EV business.</li><li>T… [+2163 chars]"
business-insider,2023-11-18T17:25:02Z,-0.9129,negative,"Pete Ryan for Business Insider
<ul><li>Electricians are in high demand as the US transitions to a greener economy.</li><li>More than 73,000 jobs are expected to open each year over the next decade.<… [+4364 chars]"
business-insider,2023-11-11T20:17:33Z,-0.9692,negative,"Former President Donald Trump.AP Photo/Lynne Sladky
<ul><li>Former President Trump is working to ramp up his support among energy executives, WaPo reported.</li><li>Trump is a climate crisis skeptic… [+4573 chars]"
business-insider,2023-11-16T12:55:50Z,-0.7137,negative,"The 2025 Toyota Camry will only be available as a hybrid.Toyota
<ul><li>Toyota has said that the 2025 Camry will be available exclusively as a hybrid.</li><li>The family sedan has been the best-sell… [+1823 chars]"
the-next-web,2023-11-27T16:45:11Z,-0.5406,negative,Say the application that has not been attributed to generative AI by now. Anything from your virtual boyfriend/girlfriend to vaccines and the energy transition will apparently be solved by the tech c… [+2503 chars]
business-insider,2023-11-14T15:52:24Z,-0.853,negative,"Workers at an automotive assembly line.Monty Rakusen/Getty Images
<ul><li>The UAW union secured historic raises for its 140,000 members after a six-week strike. </li><li>The union now wants to targe… [+2732 chars]"
business-insider,2023-11-18T11:08:01Z,-0.9018,negative,"2021 Ford Mustang Mach-E.Tim Levin/Insider
<ul><li>These dealers who switched to EVs love their cars.</li><li>But customers are harder to convince.</li><li>Being an EV owner helps these dealers talk… [+2860 chars]"
time,2023-11-14T09:00:00Z,0.6854,positive,The U.S. and Indonesia announced a new defense cooperation agreement on Monday as Washington looks to counter Chinese influence across the Indo-Pacific with efforts to bolster defense and trade agree… [+2022 chars]
business-insider,2023-11-17T19:14:01Z,0.0,neutral,"A quick Google search for electric vehicles suggests a bump in the road. 
Some automakers are reporting slower-than-expected demand, and General Motors
 and Ford
 are pushing back investments in p… [+3063 chars]"
business-insider,2023-11-18T09:51:01Z,0.0,neutral,"BYD's Seagull hatchback sells for the equivalent of just over $10,000.Aly Song/Reuters
<ul><li>China is the world's biggest producer of electric vehicles.</li><li>BYD is expected to overtake Tesla a… [+4954 chars]"
the-next-web,2023-11-14T08:24:21Z,-0.2948,negative,"While the glittering lights of Europes cities hold the promise of new opportunities, ideas, and fun, they also hold smog and a growing air pollution problem. Not to mention the fact that its hard to … [+8904 chars]"
techradar,2023-11-13T16:59:30Z,0.2797,positive,"Volvo has been busy teasing the EM90 for a number of months now, releasing images of its boxy silhouette and revealing how the ""zero gravity cushions"" employed in its seats look set to among some of … [+3310 chars]"
reuters,2023-11-21T13:41:15Z,-0.4544,negative,"LONDON, Nov 21 (Reuters) - Giant batteries that ensure stable power supply by offsetting intermittent renewable supplies are becoming cheap enough to make developers abandon scores of projects for ga… [+7297 chars]"
new-york-magazine,2023-11-13T19:46:50Z,0.0,neutral,"Over the weekend, ExxonMobil  the oil-and-gas giant announced it would also become one of the countrys largest producers of lithium, the metal used to power electric vehicles. It turns out that Arkan… [+1952 chars]"
al-jazeera-english,2023-11-27T12:17:43Z,0.9529,positive,"Mozambique has approved an ambitious new energy transition plan until 2050, hoping to attract investments of some $80bn to boost renewable energy capacity and increase electricity availability, a sen… [+1708 chars]"
business-insider,2023-11-12T11:22:01Z,0.0,neutral,"Elon Musk has started slashing prices on Tesla's electric cars. That's going to come back to burn him.Mike Windle/Getty Images; Jenny Chang-Rodriguez/Insider
Elon Musk has started an electric-vehicl… [+13782 chars]"
business-insider,2023-11-16T12:00:02Z,0.6843,positive,"If there was any doubt about Toyota's commitment to electric vehicles, a new deal announced on Thursday should clear things up. 
Redwood Materials, a battery recycling startup run by Tesla cofounder… [+1548 chars]"
business-insider,2023-11-27T13:28:45Z,-0.5927,negative,"Mazda's CEO has said that Tesla is the only company seeing real success in a fragile EV landscape, with other electric cars ""not taking off.""
Masahiro Moro told Fortune
 that consumers are still no… [+2012 chars]"
breitbart-news,2023-11-14T21:12:16Z,0.0,neutral,Stellantis is offering to buy out thousands of its American white-collar employees as a result of the company’s transition to electric vehicles (EVs) — a move spurred by tax credits from President Jo… [+3045 chars]
cbs-news,2023-11-13T14:31:36Z,0.0,neutral,"Watch CBS News
Copyright ©2023 CBS Interactive Inc. All rights reserved.
Get browser notifications for breaking news, live events, and exclusive reporting.
Not NowTurn On"
techradar,2023-11-27T14:59:37Z,-0.9474,negative,"Battery swapping technology in electric vehicles is nothing new. In fact, this writer is unfortunately old enough to remember witnessing Renault demonstrating its surprisingly state-of-the-art Fluenc… [+4082 chars]"
business-insider,2023-11-19T13:58:18Z,0.0,neutral,"Cadillac has announced that it will be adding a new model, named Optiq, to its portfolio of electric vehicles.
The company, which is owned by General Motors, said that it will ""act as the entry poin… [+1602 chars]"
fortune,2023-11-12T15:35:28Z,0.7074,positive,"The worlds biggest producer of iPhones is going to outer space.Two prototype low-Earth orbit satellites made by Hon Hai Precision Industry Co., better known as Foxconn, took off aboard a SpaceX rocke… [+3544 chars]"
al-jazeera-english,2023-11-13T03:03:21Z,0.0,neutral,"Medan, Indonesia Indonesian President Joko Widodo is in the United States this week for a summit with President Joe Biden at the White House, and later to attend the 30th Asia-Pacific Economic Cooper… [+6163 chars]"
fortune,2023-11-15T17:09:50Z,-0.416,negative,"The Energy Department is making a push to strengthen the U.S. battery supply chain, announcing up to $3.5 billion for companies that produce batteries and the critical minerals that go into them.Batt… [+4202 chars]"
techradar,2023-11-23T13:07:13Z,0.0,neutral,"Tesla has announced that it will enforce a new Supercharger fee at particularly busy EV charging stations, in an attempt to reduce congestion at some of its most in-demand locations. Just in time for… [+2560 chars]"
business-insider,2023-11-20T18:57:14Z,-0.5621,negative,"As auto manufacturing undergoes an EV revolution, one part of cars remains basically unchanged: the tires.
That's a problem, because tires are troublesome. Drivers must keep track of their condition… [+5588 chars]"
cnn,2023-11-15T18:57:56Z,0.0,neutral,"The Toyota Camry, the best-selling car in America, is going hybrid-only.
The Camry is available in a hybrid version now, but the redesigned 2025 Camry will be offered only as a hybrid car combining … [+4489 chars]"
abc-news,2023-11-15T18:06:30Z,0.0,neutral,ROME -- The Vatican signed an agreement Wednesday with German carmaker Volkswagen AG to gradually replace its auto fleet with electric vehicles as part of the Vatican's efforts to reduce its carbon e… [+1943 chars]
breitbart-news,2023-11-10T18:40:51Z,-0.4535,negative,"A Tesla vehicle caught fire in Plano, Texas, early Friday morning, leading to concerns about electric vehicle battery safety. The owner claims he just had a new battery installed by Elon Musk’s compa… [+3033 chars]"
vice-news,2023-11-22T14:36:48Z,-0.8138,negative,"Dozens of people have been convinced to quit vaping. Not because of the health concerns or the cost, but in solidarity with the people of the Democratic Republic of Congo.
I know these are the last … [+3061 chars]"
fortune,2023-11-27T00:12:30Z,0.3214,positive,Tesla CEO Elon Musk doesnt think highly of hybrid vehicles. Last year he dismissed them as a phase and said its time to move on. But Toyota doubled down on themand the move has proved prescient.Hybri… [+2500 chars]
fortune,2023-11-14T11:01:44Z,0.0,neutral,"Exxon in early 2023 acquired the rights to 120000 gross acres (48562 gross hectares) of the Smackover formation in southern Arkansas, considered one of the most prolific lithium resources of its type… [+1619 chars]"
cbs-news,2023-11-13T21:50:16Z,-0.7165,negative,"Hyundai said Monday it will raise hourly pay for the South Korean automaker's employees in the U.S., upping wages just weeks after the United Auto Workers union struck new labor contract agreements w… [+3152 chars]"
fortune,2023-11-14T00:46:47Z,-0.5176,negative,"Stellantis said Monday it will offer buyout or early retirement packages to about 6,400 nonunion U.S. salaried employees as the auto industry faces what the company is calling challenging market cond… [+1256 chars]"
newsweek,2023-11-15T16:52:28Z,0.0,neutral,"The European Union's executive body initiated a much-needed investigation into car manufacturers that produce battery-powered vehicles in China last month. Specifically, the European Commission is ex… [+3966 chars]"
fortune,2023-11-22T13:05:21Z,-0.7966,negative,Ford chief executive Jim Farley is downsizing plans for a new low-cost battery cell plant in the automakers home state of Michigan amid a sharp slowdown slump in EV sales.The market for electric vehi… [+3469 chars]
fortune,2023-11-09T17:52:41Z,0.3846,positive,"American policymakers and automakers just got a big wake-up call with Chinas announcement that it will require a special export license for battery-grade graphite, effectively restricting exports. Wh… [+4077 chars]"
fortune,2023-11-23T11:11:04Z,0.0,neutral,"Electric vehicle sales are expected to hit a record 9% of all passenger vehicles in the U.S. this year, according to Atlas Public Policy. That will be up from 7.3% of new car sales in 2022.It will be… [+3447 chars]"
